amount,browser,channel,customer_age,date,fraud,ip,isp,latitude,loginTime,longitude,lut_first_paid_date,lut_last_paid_date,minute_of_day,onceoff_vs_beneficiary,os,paymentType,region,rtc_indicator,to_acc_volume,to_bank,txn_timestamp,uuid,transactor_id
2365.0,Chrome_Some(75),channel_B,57.0,2019-06-30,0.0,196.25.32.190,TelkomLimited,-26.6668,2019-06-30T16:37:20.000Z,27.9362,2018-12-02T16:53:21.000Z,2019-04-28T16:19:10.000Z,1045.0,B,Windows_Some(10),F,ZA_GP,0,5.0,FNBRMB,2019-06-30T16:41:25.000Z,,6574426.0
600.0,Chrome_Some(66),channel_B,0.0,2018-05-07,0.0,197.184.81.20,rain,-29.0,2018-05-07T08:29:25.000Z,24.0,2017-12-22T10:56:21.000Z,2018-04-30T08:27:34.000Z,638.0,B,Mac_OS_X_Some(10),A,ZA_null,1,12.0,CapitecBank,2018-05-07T08:34:38.000Z,,12147386.0
50.0,,channel_B,23.0,2021-10-31,0.0,,,,,,2021-07-28T19:06:45.000Z,2021-10-30T21:46:21.000Z,1339.0,O,,A,,0,563645.0,,2021-10-31T01:58:19.000Z,,11005800.0
1306.0,Chrome_Some(92),channel_B,79.0,2021-08-25,0.0,156.0.73.212,BunduNetworX,-30.0475,2021-08-25T15:46:57.000Z,30.8869,2021-02-08T05:17:38.000Z,2021-06-28T13:50:14.000Z,975.0,B,Windows_Some(10),R,ZA_KZN,0,312409.0,NedbankLimited,2021-08-25T15:52:15.000Z,,6227800.0
300.0,Edge_Some(93),channel_B,72.0,2021-09-21,0.0,105.184.95.140,TelkomInternet,-26.3811,2021-09-21T17:20:51.000Z,27.8376,2021-06-15T06:03:36.000Z,2021-09-09T13:20:46.000Z,1072.0,O,Windows_Some(10),A,ZA_GP,0,197.0,StandardBank,2021-09-21T17:29:52.000Z,,4644682.0
250.0,Chrome_Some(80),channel_B,28.0,2021-04-16,0.0,45.222.109.224,HollywoodSportsbooks,-29.9056,2021-04-16T19:15:52.000Z,30.9405,2020-10-27T19:45:50.000Z,2021-04-15T15:41:59.000Z,301.0,O,Windows_Some(10),F,ZA_KZN,0,706594.0,FNBRMB,2021-04-16T19:17:01.000Z,,21445401.0
420.0,Chrome_Some(67),channel_B,50.0,2018-07-30,0.0,105.246.38.207,VodacomBusiness,-25.7599,2018-07-30T10:21:25.000Z,28.2604,2018-04-18T21:11:44.000Z,2018-06-06T10:35:35.000Z,179.0,O,Windows_Some(10),A,ZA_GP,0,85.0,NedbankLimited,2018-07-30T10:26:59.000Z,,6811357.0
341.55,IE_Some(11),channel_B,40.0,2018-05-02,0.0,41.79.221.154,ClearAccess,-25.9584,2018-05-02T10:29:00.000Z,28.1414,,,716.0,O,Windows_Some(7),R,ZA_GP,0,251253.0,,2018-05-02T10:35:56.000Z,,6073857.0
4900.0,,channel_B,86.0,2020-08-14,1.0,,,,,,,,1048.0,B,,F,,0,0.0,FNBRMB,2020-08-14T13:29:28.000Z,,325515.0
3000.0,Edge_Some(12),channel_B,54.0,2020-03-20,1.0,41.115.16.133,MTNBusinessSolutions,-29.8556,2020-03-20T13:24:07.000Z,31.0449,,,1068.0,O,Windows_Some(10),A,ZA_KZN,1,0.0,NedbankLimited,2020-03-20T13:29:48.000Z,,674833.0
7500.0,Chrome_Some(85),channel_B,61.0,2020-11-05,0.0,196.34.18.134,InternetSolutions,-33.8341,2020-11-05T09:47:09.000Z,24.8868,2020-04-17T14:32:49.000Z,2020-08-26T09:25:04.000Z,730.0,B,Windows_Some(8),F,ZA_EC,0,16.0,FNBRMB,2020-11-05T09:48:10.000Z,,8001532.0
200.0,IE_Some(11),channel_B,38.0,2018-02-13,0.0,165.143.155.57,TIENET,-25.8775,2018-02-13T13:36:34.000Z,28.168,,,280.0,O,Windows_Some(7),F,ZA_GP,0,6.0,FNBRMB,2018-02-13T13:40:40.000Z,,5219365.0
1000.0,Chrome_Some(77),channel_B,32.0,2021-04-16,1.0,3.250.78.86,Amazoncom,53.3382,2021-04-16T09:03:00.000Z,-6.2591,,,939.0,O,Windows_Some(10),F,outside_ZA,0,3028.0,FNBRMB,2021-04-16T09:03:39.000Z,,10711301.0
3000.0,Edge_Some(90),channel_B,38.0,2021-05-26,0.0,102.23.253.16,Jennyinternet,-25.7848,2021-05-26T09:21:32.000Z,29.4633,,,941.0,O,Windows_Some(10),A,ZA_MP,0,11.0,StandardBank,2021-05-26T09:27:41.000Z,,5421761.0
470.0,Edge_Some(91),channel_B,72.0,2021-06-12,0.0,41.50.184.166,CellC,-26.3811,2021-06-12T07:59:26.000Z,27.8376,,,92.0,O,Windows_Some(10),A,ZA_GP,0,3.0,NedbankLimited,2021-06-12T08:01:32.000Z,,4778819.0
1500.0,,channel_B,77.0,2018-03-18,0.0,,,,,,2017-08-22T13:40:46.000Z,2018-02-24T08:21:06.000Z,2.0,B,,R,,0,247990.0,,2018-03-18T09:12:02.000Z,,719389.0
300.0,Chrome_Some(37),channel_B,39.0,2021-10-08,0.0,93.113.125.26,truviewLLC,-25.8434,2021-10-08T12:21:09.000Z,28.177,2021-09-01T14:05:10.000Z,2021-10-07T16:45:16.000Z,1305.0,O,Windows_Some(7),A,ZA_GP,0,128405.0,ABSABank,2021-10-08T12:21:45.000Z,,6335741.0
2500.0,,channel_B,62.0,2020-08-10,0.0,,,,,,,,1041.0,O,,F,,0,0.0,FNBRMB,2020-08-10T09:53:21.000Z,,7376976.0
200.0,Chrome_Some(49),channel_B,82.0,2021-01-25,0.0,197.245.18.102,VoxTelecom,-24.1837,2021-01-25T12:56:35.000Z,29.0209,2020-06-26T08:58:30.000Z,2021-01-22T10:55:16.000Z,557.0,B,Windows_Some(XP),F,ZA_LP,0,52.0,FNBRMB,2021-01-25T12:57:17.000Z,,409558.0
500.0,IE_Some(11),channel_B,80.0,2020-07-19,0.0,41.113.13.159,MTNBusinessSolutions,-26.3811,2020-07-19T16:27:49.000Z,27.8376,2020-06-21T14:18:45.000Z,2020-06-21T14:18:45.000Z,674.0,O,Windows_Some(8),A,ZA_GP,0,10.0,NedbankLimited,2020-07-19T16:35:14.000Z,,364051.0
10000.0,Edge_Some(92),channel_B,0.0,2021-07-28,0.0,165.16.243.243,TesucoTelecommunications,-26.3811,2021-07-28T16:03:49.000Z,27.8376,2021-01-26T17:53:43.000Z,2021-06-30T10:42:09.000Z,354.0,B,Windows_Some(10),A,ZA_GP,0,17.0,StandardBank,2021-07-28T16:05:54.000Z,,27260969.0
3438.27,,channel_B,0.0,2020-09-07,0.0,,,,,,2020-02-07T13:38:46.000Z,2020-08-18T07:45:44.000Z,781.0,B,,A,,0,6.0,,2020-09-07T13:01:01.000Z,,7560894.0
5316.0,Chrome_Some(72),channel_B,55.0,2019-02-20,0.0,41.189.79.36,Africainx,-26.1293,2019-02-20T14:04:01.000Z,28.1832,,,606.0,B,Windows_Some(10),R,ZA_GP,0,4871.0,Undefined,2019-02-20T14:10:06.000Z,,4659314.0
13081.25,Edge_Some(93),channel_B,49.0,2021-09-24,0.0,197.185.113.126,rain,-33.914,2021-09-24T19:46:46.000Z,18.4129,2021-03-01T07:01:45.000Z,2021-09-13T07:19:52.000Z,756.0,B,Windows_Some(10),A,ZA_WC,0,337.0,ABSABank,2021-09-24T19:48:36.000Z,,2888269.0
250.0,,channel_B,0.0,2020-08-12,0.0,,,,,,2020-02-07T08:22:38.000Z,2020-08-03T11:47:15.000Z,914.0,B,,A,,0,16.0,,2020-08-12T12:39:14.000Z,,4423949.0
800.0,IE_Some(11),channel_B,93.0,2020-11-26,0.0,41.13.192.85,Vodacom,-34.0486,2020-11-26T08:58:35.000Z,18.4811,2020-07-20T08:37:16.000Z,2020-10-20T13:00:09.000Z,929.0,O,Windows_Some(7),A,ZA_WC,0,13.0,CapitecBank,2020-11-26T09:03:29.000Z,,770836.0
1200.0,Chrome_Some(87),channel_B,80.0,2021-01-16,0.0,105.225.145.218,TelkomInternet,-33.0354,2021-01-16T15:10:57.000Z,27.9159,,,1435.0,B,Windows_Some(10),A,ZA_EC,0,1.0,StandardBank,2021-01-16T15:11:55.000Z,,2834812.0
3000.0,Mobile_Safari_Some(12),channel_B,0.0,2021-04-08,0.0,105.184.99.5,TelkomInternet,-26.3811,2021-04-08T05:51:12.000Z,27.8376,2020-12-04T05:16:34.000Z,2021-03-10T05:20:20.000Z,1161.0,O,iOS_Some(12),R,ZA_GP,0,4830.0,,2021-04-08T05:55:21.000Z,,28968752.0
3027.45,,channel_B,0.0,2020-05-16,0.0,,,,,,2020-03-18T21:39:05.000Z,2020-03-18T21:39:05.000Z,1266.0,B,,F,,0,5.0,FNBRMB,2020-05-16T13:33:06.000Z,,6599784.0
3000.0,,channel_B,72.0,2021-10-21,0.0,,,,,,2021-08-18T16:04:25.000Z,2021-10-09T07:20:29.000Z,679.0,B,,A,,0,7.0,,2021-10-21T16:59:19.000Z,,358753.0
9300.0,,channel_B,71.0,2020-08-05,0.0,,,,,,2020-07-02T18:29:05.000Z,2020-07-02T18:29:05.000Z,230.0,B,,F,,0,2.0,FNBRMB,2020-08-05T20:03:50.000Z,,2372144.0
5940.0,Chrome_Some(90),channel_B,68.0,2021-05-07,0.0,154.127.125.238,BITCO,-26.3811,2021-05-07T11:27:35.000Z,27.8376,2020-12-07T10:06:45.000Z,2021-03-05T14:26:15.000Z,1118.0,B,Windows_Some(10),A,ZA_GP,1,8.0,CapitecBank,2021-05-07T11:30:38.000Z,,1053897.0
43000.0,Chrome_Some(68),channel_B,75.0,2018-09-12,0.0,41.50.130.134,CellC,-26.3811,2018-09-12T15:17:29.000Z,27.8376,2018-04-06T12:56:21.000Z,2018-08-29T14:37:56.000Z,568.0,B,Windows_Some(8),F,ZA_GP,0,15.0,FNBRMB,2018-09-12T15:21:28.000Z,,3158386.0
12000.0,Chrome_Some(58),channel_B,81.0,2018-01-11,0.0,102.253.0.155,TelkomInternet,-29.0,2018-01-11T10:27:57.000Z,24.0,2017-08-22T12:59:00.000Z,2017-08-22T12:59:00.000Z,477.0,B,Windows_Some(7),A,ZA_null,0,8591.0,StandardBank,2018-01-11T10:31:57.000Z,,710205.0
500.0,IE_Some(9),channel_B,84.0,2020-12-09,0.0,41.13.114.155,Vodacom,-25.7599,2020-12-09T07:16:37.000Z,28.2604,2020-07-05T06:51:02.000Z,2020-11-05T07:48:06.000Z,351.0,B,Windows_Some(Vista),A,ZA_GP,0,174.0,ABSABank,2020-12-09T07:17:51.000Z,,1708343.0
2500.0,Chrome_Some(71),channel_B,83.0,2019-01-11,0.0,94.75.218.175,LeaseWebNetherlandsBV,52.3824,2019-01-11T07:28:19.000Z,4.8995,2018-06-12T17:18:22.000Z,2018-12-12T15:28:58.000Z,1131.0,B,Windows_Some(10),A,outside_ZA,0,9.0,ABSABank,2019-01-11T07:30:51.000Z,,4907603.0
8500.0,Edge_Some(12),channel_B,71.0,2020-01-30,1.0,41.115.59.19,MTNBusinessSolutions,-29.8556,2020-01-30T15:20:46.000Z,31.0449,,,1150.0,O,Windows_Some(10),A,ZA_KZN,1,0.0,CapitecBank,2020-01-30T15:31:10.000Z,,3033463.0
27270.0,IE_Some(11),channel_B,64.0,2019-03-27,0.0,10.65.36.204,unknown,unknown,2019-03-27T10:24:18.000Z,unknown,,,609.0,O,Windows_Some(10),F,outside_ZA,0,147.0,FNBRMB,2019-03-27T10:58:09.000Z,,1804657.0
40000.0,IE_Some(11),channel_B,64.0,2018-11-29,0.0,10.7.254.91,unknown,unknown,2018-11-29T10:10:19.000Z,unknown,2018-07-13T08:08:27.000Z,2018-11-07T05:53:15.000Z,119.0,B,Windows_Some(10),F,outside_ZA,0,5.0,FNBRMB,2018-11-29T10:25:59.000Z,,1804657.0
630.0,Chrome_Some(75),channel_B,44.0,2019-07-16,0.0,197.245.189.6,VoxTelecom,-26.3811,2019-07-16T06:35:04.000Z,27.8376,2019-02-07T20:18:20.000Z,2019-06-10T19:50:49.000Z,801.0,B,Windows_Some(10),A,ZA_GP,0,88.0,StandardBank,2019-07-16T06:37:21.000Z,,6202415.0
675.0,Chrome_Some(83),channel_B,46.0,2020-06-18,0.0,41.164.31.186,LiquidIntelligentTechnologies,-34.0486,2020-06-18T09:52:28.000Z,18.4811,,,92.0,B,Windows_Some(7),A,ZA_WC,0,39.0,NedbankLimited,2020-06-18T10:01:32.000Z,,3548923.0
1503.75,Chrome_Some(88),channel_B,26.0,2021-04-07,0.0,41.144.81.155,TelkomInternet,-26.3811,2021-04-07T13:53:02.000Z,27.8376,,,1380.0,O,Windows_Some(10),R,ZA_GP,0,4147.0,,2021-04-07T13:59:00.000Z,,22504494.0
5423.13,,channel_B,0.0,2019-11-14,0.0,,,,,,,,592.0,B,,F,,0,7677.0,FNBRMB,2019-11-14T06:09:52.000Z,,492317.0
100.0,Edge_Some(92),channel_B,49.0,2021-08-06,0.0,197.185.115.230,rain,-34.0486,2021-08-06T08:25:35.000Z,18.4811,2021-07-02T09:14:27.000Z,2021-07-30T07:39:06.000Z,145.0,B,Windows_Some(10),F,ZA_WC,0,7.0,FNBRMB,2021-08-06T08:26:25.000Z,,2888269.0
700.0,Chrome_Some(92),channel_B,61.0,2021-08-03,0.0,105.227.50.30,TelkomInternet,-25.7599,2021-08-03T07:34:02.000Z,28.2604,2021-02-01T10:26:35.000Z,2021-07-01T07:11:00.000Z,385.0,B,Windows_Some(10),A,ZA_GP,0,121.0,ABSABank,2021-08-03T07:42:25.000Z,,5072702.0
3500.0,,channel_B,0.0,2020-04-01,0.0,,,,,,,,938.0,O,,A,,1,0.0,CapitecBank,2020-04-01T12:39:38.000Z,,10748048.0
150.0,,channel_B,33.0,2020-05-11,0.0,,,,,,2020-04-27T16:42:37.000Z,2020-05-08T10:25:55.000Z,1052.0,O,,A,,0,118.0,,2020-05-11T07:05:32.000Z,,21013858.0
2900.0,Chrome_Some(92),channel_B,0.0,2021-08-30,0.0,102.250.1.10,TelkomInternet,-25.7599,2021-08-30T16:43:03.000Z,28.2604,2021-02-25T20:02:57.000Z,2021-07-29T17:42:22.000Z,42.0,B,Windows_Some(10),A,ZA_GP,0,6.0,CapitecBank,2021-08-30T16:48:42.000Z,,18217896.0
1960.8,Chrome_Some(64),channel_B,80.0,2018-03-14,0.0,197.93.162.111,OPTINET,-29.8556,2018-03-14T12:34:02.000Z,31.0449,,,838.0,O,Mac_OS_X_Some(10),A,ZA_KZN,0,0.0,ABSABank,2018-03-14T12:37:58.000Z,,356154.0
6518.8,,channel_B,0.0,2021-07-28,0.0,,,,,,2021-01-27T14:46:11.000Z,2021-06-24T13:07:49.000Z,220.0,B,,F,,0,10.0,FNBRMB,2021-07-28T17:15:40.000Z,,19413705.0
334.3,Edge_Some(16),channel_B,65.0,2019-05-16,0.0,41.246.29.119,TelkomInternet,-29.8556,2019-05-16T14:37:25.000Z,31.0449,2019-02-11T14:33:53.000Z,2019-02-11T14:33:53.000Z,932.0,B,Windows_Some(10),A,ZA_KZN,0,38.0,StandardBank,2019-05-16T14:39:32.000Z,,2859485.0
50.0,Chrome_Some(77),channel_B,36.0,2021-08-08,0.0,52.31.98.188,Amazoncom,53.3382,2021-08-08T20:42:49.000Z,-6.2591,2021-04-16T20:35:33.000Z,2021-08-01T15:10:16.000Z,1163.0,O,Windows_Some(10),F,outside_ZA,0,99820.0,FNBRMB,2021-08-08T20:43:23.000Z,,4371574.0
30.0,Chrome_Some(80),channel_B,25.0,2021-10-04,0.0,45.222.109.230,HollywoodSportsbooks,-29.9056,2021-10-04T07:30:48.000Z,30.9405,2021-05-17T09:45:31.000Z,2021-10-03T20:54:28.000Z,1176.0,O,Windows_Some(10),F,ZA_KZN,0,602838.0,FNBRMB,2021-10-04T07:31:36.000Z,,14811406.0
3000.0,Chrome_Some(94),channel_B,0.0,2021-10-01,0.0,102.64.114.119,CityLodgeHotels,-26.3811,2021-10-01T15:49:22.000Z,27.8376,2021-07-24T13:34:15.000Z,2021-09-16T06:05:31.000Z,861.0,B,Windows_Some(10),A,ZA_GP,0,61.0,InvestecBank,2021-10-01T15:50:21.000Z,,16812275.0
950.0,Chrome_Some(92),channel_B,50.0,2021-08-12,0.0,105.186.47.96,TelkomInternet,-33.0354,2021-08-12T13:25:20.000Z,27.9159,,,1219.0,B,Windows_Some(10),A,ZA_EC,0,22.0,ABSABank,2021-08-12T13:32:19.000Z,,6485549.0
70.0,Chrome_Some(37),channel_B,0.0,2021-08-13,0.0,154.70.153.183,Heficed,-26.3811,2021-08-13T20:21:12.000Z,27.8376,2021-06-06T19:58:36.000Z,2021-08-08T16:31:20.000Z,1305.0,O,Windows_Some(7),F,ZA_GP,0,952118.0,FNBRMB,2021-08-13T20:21:45.000Z,,24300780.0
488.78,Edge_Some(91),channel_B,74.0,2021-07-24,0.0,197.89.69.106,OPTINET,-26.3811,2021-07-24T09:58:17.000Z,27.8376,2021-01-01T23:05:52.000Z,2021-07-02T05:23:35.000Z,34.0,B,Windows_Some(10),R,ZA_GP,0,570022.0,StandardBank,2021-07-24T10:00:34.000Z,,2970850.0
100.0,Chrome_Some(77),channel_B,36.0,2021-08-29,0.0,34.242.245.23,Amazoncom,53.3382,2021-08-28T22:10:22.000Z,-6.2591,2021-08-23T20:18:49.000Z,2021-08-28T20:24:26.000Z,766.0,O,Windows_Some(10),F,outside_ZA,0,134570.0,FNBRMB,2021-08-28T22:12:46.000Z,,5220551.0
600.0,IE_Some(11),channel_B,50.0,2019-11-18,0.0,102.141.163.119,Level7InternetPTYLTD,-25.7599,2019-11-18T09:34:06.000Z,28.2604,,,1387.0,B,Windows_Some(7),A,ZA_GP,0,7.0,CapitecBank,2019-11-18T09:35:07.000Z,,6485549.0
20.0,Chrome_Some(77),channel_B,38.0,2021-09-14,0.0,63.33.212.171,Amazoncom,53.3382,2021-09-14T12:28:32.000Z,-6.2591,2021-07-30T20:50:52.000Z,2021-09-10T06:14:39.000Z,320.0,O,Windows_Some(10),F,outside_ZA,0,189310.0,FNBRMB,2021-09-14T12:29:20.000Z,,7618150.0
16000.0,,channel_B,66.0,2020-01-06,0.0,,,,,,2019-06-11T09:03:19.000Z,2019-12-06T12:08:31.000Z,477.0,B,,F,,0,7400.0,FNBRMB,2020-01-06T18:55:57.000Z,,5259755.0
50.0,HeadlessChrome_Some(66),channel_B,22.0,2019-12-06,0.0,34.252.239.0,Amazoncom,53.3382,2019-12-06T04:14:14.000Z,-6.2591,2019-11-29T02:24:10.000Z,2019-12-02T05:14:45.000Z,895.0,O,Windows_Some(10),F,outside_ZA,0,64971.0,FNBRMB,2019-12-06T04:14:55.000Z,,21054925.0
1000.0,,channel_B,0.0,2020-09-12,0.0,,,,,,2020-05-26T16:38:53.000Z,2020-09-11T00:05:25.000Z,1032.0,O,,A,,0,3542.0,,2020-09-12T21:29:12.000Z,,6475877.0
110.0,IE_Some(11),channel_B,61.0,2021-05-25,0.0,196.26.10.10,InternetSolutions,-25.6356,2021-05-25T04:56:13.000Z,27.7849,2020-11-26T05:53:53.000Z,2021-04-24T06:10:34.000Z,609.0,B,Windows_Some(10),A,ZA_NW,0,117.0,StandardBank,2021-05-25T04:58:09.000Z,,750910.0
1200.0,Chrome_Some(68),channel_B,34.0,2018-08-24,0.0,105.27.143.2,Seacom,-26.3811,2018-08-24T10:49:04.000Z,27.8376,2018-01-29T08:39:29.000Z,2018-07-25T10:09:40.000Z,315.0,B,Windows_Some(10),A,ZA_GP,0,2418.0,ABSABank,2018-08-24T10:53:15.000Z,,3751912.0
898.0,Chrome_Some(49),channel_B,83.0,2021-01-19,0.0,105.186.209.26,TelkomInternet,-29.9056,2021-01-19T08:53:23.000Z,30.9405,,,735.0,B,Windows_Some(XP),F,ZA_KZN,0,9.0,FNBRMB,2021-01-19T09:00:15.000Z,,659706.0
184.0,Chrome_Some(77),channel_B,36.0,2021-09-30,0.0,18.200.196.56,Amazoncom,53.3382,2021-09-30T04:46:39.000Z,-6.2591,2021-09-29T17:14:06.000Z,2021-09-29T17:14:06.000Z,1401.0,O,Windows_Some(10),F,outside_ZA,0,105036.0,FNBRMB,2021-09-30T04:47:21.000Z,,12302188.0
10496.48,Edge_Some(14),channel_B,57.0,2019-01-11,0.0,105.225.219.123,TelkomInternet,-26.3811,2019-01-11T13:52:21.000Z,27.8376,2018-06-11T11:32:11.000Z,2018-11-15T10:37:23.000Z,1103.0,B,Windows_Some(10),A,ZA_GP,0,5.0,NedbankLimited,2019-01-11T13:54:23.000Z,,2888413.0
500.0,Chrome_Some(77),channel_B,33.0,2020-10-31,0.0,52.214.42.24,Amazoncom,53.3382,2020-10-31T13:15:24.000Z,-6.2591,2020-04-06T09:42:34.000Z,2020-10-07T15:03:29.000Z,239.0,O,Windows_Some(10),A,outside_ZA,0,314212.0,StandardBank,2020-10-31T13:15:59.000Z,,21612493.0
932.61,Firefox_Some(69),channel_B,82.0,2019-08-18,0.0,196.210.73.2,InternetSolutions,-28.2338,2019-08-18T16:14:20.000Z,28.3003,2019-02-12T09:35:25.000Z,2019-07-16T09:58:43.000Z,1052.0,B,Windows_Some(10),R,ZA_FS,0,259812.0,ABSABank,2019-08-18T16:17:32.000Z,,595849.0
270.0,Firefox_Some(93),channel_B,41.0,2021-10-07,0.0,155.93.163.113,Coolideas,-26.3811,2021-10-07T06:17:16.000Z,27.8376,,,1293.0,O,Ubuntu_None,F,ZA_GP,0,40.0,FNBRMB,2021-10-07T06:21:33.000Z,,6845494.0
135.0,Chrome_Some(87),channel_B,28.0,2021-01-25,0.0,197.234.170.22,CipherWave,-26.3811,2021-01-25T08:56:23.000Z,27.8376,,,649.0,O,Windows_Some(10),A,ZA_GP,0,1.0,CapitecBank,2021-01-25T08:58:49.000Z,,16365926.0
100.0,Chrome_Some(67),channel_B,50.0,2018-07-22,0.0,102.250.36.221,TelkomInternet,-29.0,2018-07-22T18:10:03.000Z,24.0,2018-05-16T08:30:36.000Z,2018-07-07T17:34:51.000Z,1053.0,B,Windows_Some(10),R,ZA_null,0,83861.0,Undefined,2018-07-22T18:17:33.000Z,,7020258.0
200.0,Chrome_Some(90),channel_B,68.0,2021-05-25,0.0,102.39.135.152,VoxTelecom,-34.0486,2021-05-25T16:23:51.000Z,18.4811,2020-10-26T12:14:32.000Z,2021-03-30T16:42:22.000Z,138.0,O,Windows_Some(10),F,ZA_WC,0,25.0,FNBRMB,2021-05-25T16:26:18.000Z,,1174682.0
4000.0,Chrome_Some(86),channel_B,68.0,2020-11-27,0.0,41.78.223.84,Breebandcoza,-29.1252,2020-11-27T08:35:08.000Z,26.163,2020-04-29T08:21:06.000Z,2020-11-26T12:42:33.000Z,992.0,B,Windows_Some(10),F,ZA_FS,0,30.0,FNBRMB,2020-11-27T08:40:32.000Z,,3194674.0
15000.0,Edge_Some(87),channel_B,46.0,2021-01-06,0.0,164.160.127.8,GoConnect,-26.3811,2021-01-06T15:17:47.000Z,27.8376,,,604.0,B,Windows_Some(10),F,ZA_GP,0,32.0,FNBRMB,2021-01-06T15:22:04.000Z,,657429.0
100.0,Chrome_Some(37),channel_B,35.0,2021-09-04,0.0,92.240.200.130,M247Ltd,-29.0,2021-09-03T23:03:29.000Z,24.0,2021-08-05T19:47:34.000Z,2021-09-03T13:08:49.000Z,969.0,O,Windows_Some(7),F,ZA_null,0,1013063.0,FNBRMB,2021-09-03T23:04:09.000Z,,5428251.0
1715.6,Edge_Some(16),channel_B,72.0,2019-05-27,0.0,41.13.246.55,Vodacom,-33.914,2019-05-27T09:19:15.000Z,18.4129,2018-12-20T11:20:43.000Z,2019-04-25T08:53:12.000Z,983.0,B,Windows_Some(10),R,ZA_WC,0,35364.0,ABSABank,2019-05-27T09:28:23.000Z,,1710921.0
200.0,,channel_B,79.0,2020-09-05,0.0,,,,,,2020-06-05T06:34:55.000Z,2020-09-04T14:09:02.000Z,286.0,O,,A,,1,7.0,,2020-09-05T08:04:46.000Z,,3059811.0
200.0,IE_Some(11),channel_B,84.0,2019-06-21,0.0,41.147.6.162,TelkomInternet,-34.0486,2019-06-21T07:12:54.000Z,18.4811,2018-11-24T06:05:25.000Z,2019-06-08T06:36:15.000Z,276.0,B,Windows_Some(10),A,ZA_WC,0,118.0,ABSABank,2019-06-21T07:16:36.000Z,,318141.0
